split,demo,steps,agent_x_min,agent_x_max,agent_y_min,agent_y_max,agent_z_min,agent_z_max,action_x_min,action_x_max,action_y_min,action_y_max,action_z_min,action_z_max,action_gripper_max,first_close_step,first_open_after_close_step,agent_vel_abs_max,action_vel_abs_max
train,demo_025,89,-0.02569384127855301,0.2733548581600189,0.45773372054100037,0.6045510768890381,0.3795448839664459,0.49708986282348633,-0.024889230728149414,0.27286389470100403,0.4589346945285797,0.6062430143356323,0.3800431489944458,0.5011983513832092,1.0,20,64,3.5657413005828857,10.0
train,demo_026,97,-0.02083323709666729,0.2804560661315918,0.45471838116645813,0.6042418479919434,0.3773622512817383,0.5008165836334229,-0.021310076117515564,0.2816770672798157,0.45471838116645813,0.6044542193412781,0.37990352511405945,0.5066365003585815,1.0,23,72,2.587918996810913,10.0
train,demo_027,106,-0.022062605246901512,0.27561110258102417,0.45536714792251587,0.6230392456054688,0.36646127700805664,0.5011336803436279,-0.02213108167052269,0.27708640694618225,0.4627533257007599,0.6271361112594604,0.35674312710762024,0.5051833987236023,1.0,23,79,2.586562156677246,10.0
train,demo_028,103,-0.026074666529893875,0.2846423387527466,0.45550867915153503,0.6082860231399536,0.3662913143634796,0.4870145320892334,-0.026783522218465805,0.2875370681285858,0.4614851474761963,0.6120764017105103,0.3684491515159607,0.4892957806587219,1.0,23,76,2.586808681488037,10.0
train,demo_029,88,-0.030804920941591263,0.2860530912876129,0.45707815885543823,0.608189582824707,0.38774600625038147,0.4917258620262146,-0.03210970759391785,0.2895248830318451,0.4622442424297333,0.6096171140670776,0.3872157335281372,0.49712684750556946,1.0,21,65,2.5641794204711914,10.0
train,demo_030,86,-0.03995063528418541,0.2871200144290924,0.45586347579956055,0.5996628403663635,0.38206684589385986,0.5031273365020752,-0.03946275636553764,0.28797921538352966,0.4662974774837494,0.6003864407539368,0.38330599665641785,0.5089386105537415,1.0,20,63,2.589460611343384,10.0
train,demo_031,86,-0.018926413729786873,0.2797757685184479,0.45458266139030457,0.6095667481422424,0.38229551911354065,0.5009251832962036,-0.019464964047074318,0.2818019688129425,0.47223925590515137,0.6100924015045166,0.3849796950817108,0.506140410900116,1.0,16,59,2.586808681488037,10.0
train,demo_032,101,-0.04252836853265762,0.27890443801879883,0.4546048045158386,0.5934447050094604,0.373911052942276,0.5006552934646606,-0.04070189595222473,0.28097811341285706,0.46052148938179016,0.5955089926719666,0.37588560581207275,0.5071892738342285,1.0,21,76,2.5894603729248047,10.0
train,demo_033,95,-0.020782826468348503,0.2765485644340515,0.4533143639564514,0.6053480505943298,0.38194745779037476,0.4862242639064789,-0.02100510336458683,0.27931246161460876,0.46337875723838806,0.6069624423980713,0.38497328758239746,0.49299708008766174,1.0,20,71,2.5637478828430176,10.0
train,demo_034,112,-0.043350085616111755,0.25331997871398926,0.4543876051902771,0.5988228917121887,0.3821250796318054,0.4997411370277405,-0.04197375848889351,0.25351789593696594,0.4636089503765106,0.5996593236923218,0.38286110758781433,0.5038954615592957,1.0,26,84,3.8948886394500732,10.0
train,demo_035,103,-0.052997324615716934,0.2585485279560089,0.45622485876083374,0.5975760817527771,0.376634806394577,0.49233826994895935,-0.054221827536821365,0.25776228308677673,0.4655773341655731,0.5970578193664551,0.37755081057548523,0.4961128234863281,1.0,28,82,2.5889668464660645,10.0
train,demo_036,94,-0.034050703048706055,0.23663026094436646,0.4571444094181061,0.6024297475814819,0.3877733647823334,0.5100526213645935,-0.03540214151144028,0.23799651861190796,0.4617408215999603,0.6039979457855225,0.38990700244903564,0.5150955319404602,1.0,23,72,2.564302682876587,10.0
train,demo_037,106,-0.04789469391107559,0.26141372323036194,0.45757636427879333,0.6088848114013672,0.386905312538147,0.5291075706481934,-0.049467794597148895,0.26243168115615845,0.46693772077560425,0.6099467873573303,0.38958171010017395,0.534903347492218,1.0,25,81,2.563377618789673,10.0
train,demo_038,109,-0.05015793815255165,0.2595939040184021,0.45713043212890625,0.6233221292495728,0.3833748996257782,0.522611677646637,-0.052081149071455,0.25913721323013306,0.45713043212890625,0.6240884065628052,0.38534632325172424,0.5296322107315063,1.0,26,84,2.9454920291900635,10.0
train,demo_039,93,-0.04507145285606384,0.2548048496246338,0.4575636684894562,0.5992753505706787,0.37882107496261597,0.5012364983558655,-0.045315034687519073,0.2561250925064087,0.4678601324558258,0.6018550992012024,0.3800262212753296,0.5061743259429932,1.0,19,69,2.6130151748657227,10.0
train,demo_040,90,-0.0455402210354805,0.2556110918521881,0.45976054668426514,0.5951818823814392,0.37867632508277893,0.5314502716064453,-0.04446398466825485,0.2560494840145111,0.4673149585723877,0.5979983806610107,0.38071855902671814,0.5356981158256531,1.0,18,69,2.5882887840270996,10.0
train,demo_041,104,-0.04656289890408516,0.2745240032672882,0.4585856795310974,0.6051760911941528,0.3788192570209503,0.5333073139190674,-0.04787832871079445,0.2676846981048584,0.4686048924922943,0.6058894395828247,0.3801027536392212,0.5388169288635254,1.0,19,83,2.9974722862243652,10.0
train,demo_042,95,-0.035163938999176025,0.26957157254219055,0.45802196860313416,0.6068968772888184,0.37462806701660156,0.49928808212280273,-0.03598318621516228,0.27089953422546387,0.46935874223709106,0.6065196394920349,0.3769703507423401,0.5031216144561768,1.0,21,72,2.5639941692352295,10.0
train,demo_043,110,-0.055740341544151306,0.26919347047805786,0.4578837454319,0.6162777543067932,0.38564297556877136,0.5343044400215149,-0.05728396400809288,0.2695106863975525,0.4657902717590332,0.6155321002006531,0.3875761330127716,0.5399362444877625,1.0,27,85,2.585329294204712,10.0
train,demo_044,93,-0.04656480252742767,0.25166669487953186,0.4600965082645416,0.6108317375183105,0.3827219307422638,0.524700403213501,-0.04794379696249962,0.25329816341400146,0.4650511145591736,0.6098882555961609,0.3843964636325836,0.527982234954834,1.0,21,71,3.89760160446167,10.0
train,demo_045,96,-0.05235208198428154,0.256447970867157,0.45806658267974854,0.6058590412139893,0.3759773373603821,0.4868178069591522,-0.053515028208494186,0.257641077041626,0.47030240297317505,0.6056572198867798,0.37939465045928955,0.49044808745384216,1.0,21,74,2.9988903999328613,10.0
train,demo_046,91,-0.059491243213415146,0.26736921072006226,0.45613914728164673,0.6058228611946106,0.3746587336063385,0.49989891052246094,-0.06136082112789154,0.26917171478271484,0.46785256266593933,0.6054529547691345,0.37984538078308105,0.5053902268409729,1.0,21,67,2.588103771209717,10.0
train,demo_047,105,-0.047576695680618286,0.25392642617225647,0.454192578792572,0.5985174775123596,0.3773948848247528,0.5330139994621277,-0.0490235798060894,0.25555264949798584,0.46461954712867737,0.5975638031959534,0.3799941837787628,0.5373021364212036,1.0,24,84,3.4381649494171143,10.0
train,demo_048,106,-0.060461580753326416,0.262005090713501,0.4499081075191498,0.597318708896637,0.3790448307991028,0.5206794142723083,-0.06222765892744064,0.26414206624031067,0.4572078585624695,0.5984758138656616,0.3806248903274536,0.5239251255989075,1.0,26,83,2.5655357837677,10.0
train,demo_049,105,-0.04825396090745926,0.2818644642829895,0.45796194672584534,0.6153499484062195,0.3770149350166321,0.515995979309082,-0.048658210784196854,0.2828356623649597,0.4636642038822174,0.6163368821144104,0.37864789366722107,0.5212348103523254,1.0,26,79,3.0020968914031982,10.0
train,demo_050,102,-0.03130565956234932,0.2655337154865265,0.4579293727874756,0.6032100915908813,0.3746481239795685,0.5043479800224304,-0.03313136100769043,0.26524969935417175,0.46581119298934937,0.6025975942611694,0.37738922238349915,0.5106404423713684,1.0,21,71,3.0749802589416504,10.0
train,demo_051,99,-0.047861676663160324,0.26705262064933777,0.45742499828338623,0.6070643663406372,0.3732287287712097,0.49129870533943176,-0.048328377306461334,0.268571138381958,0.45742499828338623,0.6084890961647034,0.37731707096099854,0.4965667724609375,1.0,26,74,3.8944571018218994,10.0
train,demo_052,90,-0.037866655737161636,0.2691299617290497,0.4576418995857239,0.5957942008972168,0.3738752603530884,0.5175753235816956,-0.038689762353897095,0.26956361532211304,0.46559372544288635,0.5957755446434021,0.3756459355354309,0.5219939947128296,1.0,21,68,2.590200662612915,10.0
train,demo_053,85,-0.0367894247174263,0.26333650946617126,0.4572567939758301,0.6046141386032104,0.38115108013153076,0.518855094909668,-0.03759543597698212,0.26420122385025024,0.4673559069633484,0.6050755977630615,0.38316991925239563,0.5250411033630371,1.0,17,65,2.5877952575683594,10.0
train,demo_054,82,-0.03998229652643204,0.2377791553735733,0.45274293422698975,0.5798952579498291,0.3769337832927704,0.5078877210617065,-0.04128073900938034,0.24113789200782776,0.4642079770565033,0.5809133052825928,0.38026130199432373,0.514129102230072,1.0,18,62,2.58909010887146,10.0
train,demo_055,81,-0.04732609540224075,0.26325517892837524,0.45530372858047485,0.6023101806640625,0.3754245340824127,0.5108968019485474,-0.04863979294896126,0.2635033428668976,0.4648851454257965,0.6022393703460693,0.3775797188282013,0.5147795677185059,1.0,17,59,2.5889668464660645,10.0
train,demo_056,88,-0.03924368694424629,0.25611069798469543,0.45729079842567444,0.5982120037078857,0.38156455755233765,0.5143721103668213,-0.03886398673057556,0.25617516040802,0.4629186987876892,0.5978428721427917,0.3832836151123047,0.5173872113227844,1.0,21,69,2.588350772857666,10.0
train,demo_057,92,-0.04939210042357445,0.24913902580738068,0.4573419690132141,0.6032801866531372,0.37730252742767334,0.5060061812400818,-0.05008639022707939,0.25011128187179565,0.46981894969940186,0.6033622026443481,0.3796512186527252,0.5106655955314636,1.0,18,71,2.6141867637634277,10.0
train,demo_058,95,-0.05480993911623955,0.2595187723636627,0.4517441391944885,0.6073563098907471,0.3675977289676666,0.5161197781562805,-0.056677479296922684,0.26138246059417725,0.46006134152412415,0.6075220108032227,0.37183529138565063,0.5221600532531738,1.0,21,74,2.5607264041900635,10.0
train,demo_059,90,-0.05028930678963661,0.26581260561943054,0.45755070447921753,0.6123260855674744,0.37807005643844604,0.5111426115036011,-0.052025314420461655,0.266262412071228,0.46188199520111084,0.6135041117668152,0.38158541917800903,0.5169121623039246,1.0,21,69,2.588350296020508,10.0
train,demo_060,88,-0.041305623948574066,0.23943234980106354,0.45865726470947266,0.6000415086746216,0.3667256832122803,0.4889363944530487,-0.04239558428525925,0.24197180569171906,0.46634021401405334,0.6001397371292114,0.37016597390174866,0.4929671883583069,1.0,23,70,2.566645622253418,10.0
train,demo_061,96,-0.03882094845175743,0.25850436091423035,0.45716702938079834,0.602287769317627,0.37559741735458374,0.48668330907821655,-0.040037184953689575,0.25943756103515625,0.45716702938079834,0.6016955971717834,0.3781493604183197,0.4915311634540558,1.0,15,75,2.564364194869995,10.0
train,demo_062,88,-0.05931906774640083,0.24314910173416138,0.45714840292930603,0.5981908440589905,0.3827573359012604,0.5211842060089111,-0.06119397282600403,0.24366988241672516,0.4630603790283203,0.5983099341392517,0.3869653642177582,0.526348888874054,1.0,19,68,2.5891523361206055,10.0
train,demo_063,87,-0.036399342119693756,0.2656036615371704,0.4582444429397583,0.6042819619178772,0.3780035674571991,0.4905894100666046,-0.03770861774682999,0.2669130265712738,0.4660419821739197,0.6044598817825317,0.38081109523773193,0.49492281675338745,1.0,15,62,2.589522361755371,10.0
train,demo_064,85,-0.056615766137838364,0.2658016085624695,0.4569960832595825,0.5975610017776489,0.3818715214729309,0.5164406299591064,-0.05785687267780304,0.26678553223609924,0.4629673659801483,0.5986577272415161,0.3840172588825226,0.5185734033584595,1.0,19,65,2.5642409324645996,10.0
train,demo_065,105,-0.05633881315588951,0.25553199648857117,0.44819459319114685,0.5827023983001709,0.3824591636657715,0.5206813812255859,-0.05880768224596977,0.25676971673965454,0.45043742656707764,0.5831896662712097,0.38480979204177856,0.5248688459396362,1.0,24,82,2.5655972957611084,10.0
train,demo_066,105,-0.04678812995553017,0.24413850903511047,0.45560258626937866,0.6081104278564453,0.3916226029396057,0.5389110445976257,-0.04813952371478081,0.2437325268983841,0.46315789222717285,0.6080572009086609,0.3958714008331299,0.5451797246932983,1.0,20,84,3.8958752155303955,10.0
train,demo_067,91,-0.04201522842049599,0.24912841618061066,0.45717987418174744,0.6049755811691284,0.38288986682891846,0.4982951581478119,-0.04376787692308426,0.24980603158473969,0.4629981517791748,0.6060047745704651,0.38446396589279175,0.5022302269935608,1.0,22,73,2.566584348678589,10.0
train,demo_068,97,-0.04589984193444252,0.2536013424396515,0.4576219916343689,0.5993832349777222,0.3809471130371094,0.5161975026130676,-0.047672469168901443,0.2534351944923401,0.46331146359443665,0.5989518165588379,0.38389432430267334,0.5185108780860901,1.0,21,76,2.9485130310058594,10.0
train,demo_069,95,-0.046729132533073425,0.264543354511261,0.4584709703922272,0.5944437980651855,0.38299718499183655,0.5028680562973022,-0.04873690381646156,0.26492419838905334,0.4645983874797821,0.5941716432571411,0.38484883308410645,0.5091766119003296,1.0,22,76,2.5882887840270996,10.0
val,demo_000,102,-0.052950169891119,0.2517336905002594,0.45294052362442017,0.600064754486084,0.3848656713962555,0.516920804977417,-0.05415549501776695,0.2523028254508972,0.45294052362442017,0.6009030938148499,0.38691866397857666,0.5193175077438354,1.0,24,81,2.589521884918213,10.0
val,demo_001,95,-0.04028111696243286,0.24910905957221985,0.4560256004333496,0.6071674823760986,0.38766416907310486,0.5154182314872742,-0.04026686027646065,0.25036463141441345,0.45870906114578247,0.6093202829360962,0.38903293013572693,0.5190092921257019,1.0,23,71,2.591618061065674,10.0
val,demo_002,102,-0.04565108194947243,0.2455165684223175,0.45724496245384216,0.6174802780151367,0.37650296092033386,0.5030469298362732,-0.046930909156799316,0.24630890786647797,0.4645620584487915,0.6173004508018494,0.38188034296035767,0.5098472833633423,1.0,29,81,2.588843584060669,10.0
val,demo_003,104,-0.04066969454288483,0.24993501603603363,0.4554294943809509,0.5960845351219177,0.38041815161705017,0.4947778284549713,-0.04218908026814461,0.25062844157218933,0.4649132192134857,0.595565915107727,0.3815259635448456,0.49892088770866394,1.0,25,82,3.3869240283966064,10.0
val,demo_004,108,-0.034497905522584915,0.229227215051651,0.4571181833744049,0.5976085066795349,0.3896949887275696,0.5064772963523865,-0.03627868741750717,0.229725643992424,0.46191999316215515,0.5986474752426147,0.39103251695632935,0.511864960193634,1.0,33,88,2.563624143600464,10.0
val,demo_005,81,-0.04458062723278999,0.24771681427955627,0.45740535855293274,0.5958030223846436,0.38404393196105957,0.5198755860328674,-0.04499028995633125,0.2483186274766922,0.46462398767471313,0.5954021215438843,0.38591018319129944,0.5244192481040955,1.0,18,63,2.5871171951293945,10.0
