policy,demo,start_step,horizon,xyz_error_mm_mean,xyz_error_mm_final,z_error_mm_mean,z_error_mm_min,gripper_abs_error_mean,pred_gripper_max,gt_gripper_max
sfp_state,demo_003,76,12,22.507380082406996,26.795689548972327,-4.422495762507121,-10.251164436340332,0.16299059987068176,0.9791630506515503,1.0
sfp_state,demo_003,89,12,19.00410172922189,24.16494514255218,-17.502640684445698,-25.136560201644897,0.30590670307477313,0.9768392443656921,0.0
sfp_state,demo_004,0,12,15.431945206710623,17.330830456565575,-10.209490855534872,-16.26947522163391,0.004950724542140961,0.00682869553565979,0.0
sfp_state,demo_004,13,12,34.34966768427216,43.20951657247836,-28.029392162958782,-36.911964416503906,0.7271198555827141,1.0456371307373047,0.0
sfp_state,demo_004,27,12,10.69259467500107,24.700203049003242,-0.6314689914385477,-11.93198561668396,0.15672593315442404,1.1105308532714844,1.0
sfp_state,demo_004,40,12,19.295373874827316,20.77495696909879,-18.864651521046955,-24.818360805511475,0.31747446457544964,1.0377731323242188,1.0
sfp_state,demo_004,53,12,48.47430135026237,82.62416346331476,-35.137541592121124,-56.616008281707764,0.03198593854904175,1.050955057144165,1.0
sfp_state,demo_004,66,12,28.535087900370915,27.094613810882304,-0.08134295543034871,-5.641430616378784,0.022018690903981526,0.9937039017677307,1.0
sfp_state,demo_004,80,12,24.53046658119594,36.747430096130046,7.454668482144673,1.9148588180541992,0.21343585352102915,0.9866714477539062,1.0
sfp_state,demo_004,93,12,18.73607698792495,28.758575374227814,-12.282850841681162,-15.994489192962646,0.12760436534881592,0.9615956544876099,0.0
sfp_state,demo_005,0,12,20.69150782134602,31.553529299568797,-2.270651360352834,-5.281567573547363,0.019904206196467083,-0.0006560087203979492,0.0
sfp_state,demo_005,9,12,25.143749607861263,44.30864476936674,0.33128013213475543,-4.428893327713013,0.27646467586358386,1.0806281566619873,1.0
sfp_state,demo_005,19,12,17.552884108213203,27.439143128681305,-8.769738177458445,-18.87950301170349,0.26673851907253265,1.0994486808776855,1.0
sfp_state,demo_005,28,12,51.828618664082114,83.34820886300696,-48.12769591808319,-76.70757174491882,0.10070772469043732,0.9246321320533752,1.0
sfp_state,demo_005,38,12,45.95078745235922,71.49541824219133,-5.335405468940735,-11.1006498336792,0.035765121380488075,1.0588531494140625,1.0
sfp_state,demo_005,47,12,28.744835473079597,35.2106328881353,8.26038916905721,-8.50212574005127,0.03154874841372172,1.0461483001708984,1.0
sfp_state,demo_005,57,12,18.360127138241502,23.949229943078205,-10.937045017878214,-21.203815937042236,0.2868997926513354,0.9876518249511719,1.0
sfp_state,demo_005,66,12,25.588069639060397,41.53882501847697,-24.26021546125412,-40.42536020278931,0.41622274617354077,0.9843384027481079,0.0
sfp_state,demo_006,0,12,15.586820414716202,22.430045534045856,-10.400747259457907,-17.70356297492981,0.027788912256558735,-0.0047931671142578125,0.0
sfp_state,demo_006,12,12,20.88312734969476,26.307855121542826,3.901772201061249,-4.360437393188477,0.02091949184735616,-0.00593191385269165,0.0
sfp_state,demo_006,23,12,14.044137497836271,8.423088004434586,-13.019050161043802,-16.611248254776,0.21499727418025336,0.9411786794662476,1.0
sfp_state,demo_006,35,12,40.379181247956204,65.60297618901808,-37.69128521283468,-59.292882680892944,0.04956718782583872,0.9719660878181458,1.0
sfp_state,demo_006,46,12,30.045535762094346,41.467020792527435,-11.21534158786138,-20.82371711730957,0.062044729789098106,0.9813865423202515,1.0
sfp_state,demo_006,58,12,15.645189854793758,4.8355028981724635,8.592126270135244,-0.7654726505279541,0.05478208760420481,0.9815329313278198,1.0
sfp_state,demo_006,69,12,24.65071490341704,37.890443675572826,22.529912491639454,1.449674367904663,0.252187579870224,0.965423583984375,1.0
sfp_state,demo_006,81,12,12.460370387895603,24.238038251074943,-10.673674444357554,-22.577285766601562,0.1028464138507843,0.12097486853599548,0.0
sfp_state,demo_007,0,12,21.60389630127849,40.795435135958854,-16.39397193988164,-33.9389443397522,0.04007522761821747,0.06040641665458679,0.0
sfp_state,demo_007,12,12,15.747498688524955,27.008039421373418,-4.174463450908661,-8.788883686065674,0.3409404878815015,1.0817471742630005,1.0
sfp_state,demo_007,23,12,28.827645656841668,43.45760235828464,-7.699936628341675,-12.012124061584473,0.13771192729473114,1.0308959484100342,1.0
sfp_state,demo_007,35,12,54.36567773555693,81.18971173014883,-51.29887908697128,-75.48767328262329,0.017179871598879497,1.0368876457214355,1.0
sfp_state,demo_007,46,12,55.20802811281983,80.0710483046704,-0.36043673753738403,-3.6760270595550537,0.013044903675715128,0.9943949580192566,1.0
sfp_state,demo_007,58,12,22.43121438945306,21.838252913318918,10.803617537021637,-2.4128854274749756,0.16282289723555246,1.002813696861267,1.0
sfp_state,demo_007,69,12,17.796497584744756,21.80641747731475,-4.664356509844462,-11.386692523956299,0.4037697563568751,0.986637532711029,0.0
sfp_state,demo_007,81,12,21.616759618037815,22.243079026093728,-19.259740908940632,-24.430036544799805,0.058799167474110924,0.07009115815162659,0.0
sfp_state,demo_008,0,12,29.792864083032764,37.546888317808005,-22.81008909145991,-37.33912110328674,0.032060605784257255,0.039215415716171265,0.0
sfp_state,demo_008,13,12,24.60778307484876,29.587013895766113,-12.795239686965942,-17.06373691558838,0.027153387665748596,-0.007573843002319336,0.0
sfp_state,demo_008,26,12,17.28988158434416,15.060945549362366,-16.04321599006653,-18.332868814468384,0.2600523258248965,0.8918979167938232,1.0
sfp_state,demo_008,39,12,41.86246615523622,55.0028668557313,-39.72264130910238,-69.55784559249878,0.051748126745224,0.9582157731056213,1.0
sfp_state,demo_008,53,12,21.253955737548342,33.004684456492555,-8.967407047748566,-16.0675048828125,0.0446270356575648,0.9815718531608582,1.0
sfp_state,demo_008,66,12,25.99975092623101,37.99563627653581,-4.796440402666728,-20.63131332397461,0.2592422266801198,1.018544316291809,1.0
sfp_state,demo_008,79,12,15.567418875528926,16.52719212665065,-7.718242704868317,-12.278735637664795,0.5269734859466553,0.982678234577179,0.0
sfp_state,demo_008,92,12,47.44037920063735,77.08063503990931,-23.482816914717358,-56.37219548225403,0.20600342998902002,0.4678512215614319,0.0
sfp_state,demo_009,0,12,8.670070933267716,19.254571962828408,1.689446469148,-2.0978152751922607,0.03282317022482554,0.052140235900878906,0.0
sfp_state,demo_009,10,12,30.22367839596385,35.27029781838438,-17.20057676235835,-27.266383171081543,0.07108606894810994,0.956946611404419,1.0
sfp_state,demo_009,20,12,11.991733052906508,17.939881900169137,-2.863203485806783,-8.212238550186157,0.05673065036535263,1.0168850421905518,1.0
sfp_state,demo_009,30,12,47.75356480248135,76.7911038793277,-47.16827720403671,-83.0281674861908,0.062484810749689736,0.9579989314079285,1.0
sfp_state,demo_009,41,12,13.859318542247415,13.500308680510022,-5.538225173950195,-10.104954242706299,0.027853459119796753,1.0415784120559692,1.0
sfp_state,demo_009,51,12,21.536390914259847,45.72093130202983,13.098493218421936,-3.025949001312256,0.20295852422714233,1.0596731901168823,1.0
sfp_state,demo_009,61,12,20.523767374105713,33.27280741000231,3.046102821826935,-5.120962858200073,0.6283203711112341,0.9900866746902466,0.0
sfp_state,demo_009,71,12,39.54547462580888,52.067492425235095,-25.598205626010895,-34.435540437698364,0.34009480973084766,0.9882210493087769,0.0
mpd_state,demo_000,0,12,24.852253938784486,24.601868236431812,2.2212713956832886,-13.848632574081421,0.007922286788622538,0.005269467830657959,0.0
mpd_state,demo_000,12,12,9.025501816186996,15.335976832794659,-1.5610655148824055,-3.6965012550354004,0.209403229256471,0.06755483150482178,1.0
mpd_state,demo_000,25,12,12.279928685211093,10.602556146148238,-10.921371479829153,-15.107780694961548,0.1138613944252332,1.0778090953826904,1.0
mpd_state,demo_000,37,12,48.12896591803561,89.24151358047584,7.617821296056111,-1.4729499816894531,0.0284313162167867,1.0856952667236328,1.0
mpd_state,demo_000,50,12,18.77643883429385,20.092727981802717,4.511192440986633,-2.812027931213379,0.01672006646792094,1.0378482341766357,1.0
mpd_state,demo_000,62,12,8.271355620871082,14.412639219262465,-3.236934542655945,-8.397459983825684,0.04819412032763163,1.0867716073989868,1.0
mpd_state,demo_000,75,12,13.336588961916814,15.099845445718012,-5.782634019851685,-9.626239538192749,0.20106997092564902,1.0955383777618408,1.0
mpd_state,demo_000,87,12,22.73657425564971,38.442502166001226,-21.732521553834278,-37.64823079109192,0.1162334034840266,0.7318922877311707,0.0
mpd_state,demo_001,0,12,24.95498199263273,17.432294005579998,-0.39508193731307983,-6.870657205581665,0.008559765915075937,0.005224168300628662,0.0
mpd_state,demo_001,11,12,17.530387602433112,24.312053940273234,-15.403680503368378,-22.790342569351196,0.17026096830765405,0.5577518343925476,1.0
